id,text,label,domain,synthetic_intent,source_type,cluster_id,cluster_role,notes
jwst-001,"NASA's James Webb Space Telescope has captured the deepest and sharpest infrared image of the distant universe to date. Known as Webb's First Deep Field, this image of galaxy cluster SMACS 0723 is overflowing with detail, revealing thousands of galaxies—including the faintest objects ever observed in the infrared—in a tiny sliver of sky approximately the size of a grain of sand held at arm's length by someone on the ground. The combined mass of the cluster acts as a gravitational lens, magnifying much more distant galaxies behind it.",HUMAN,astrophysics,benign,official_press_release,cluster_jwst_deep_field,ROOT_ORIGIN,Authentic NASA/ESA official scientific press release for SMACS 0723.
jwst-002,"NASA's James Webb Space Telescope has captured the deepest and sharpest infrared image of the distant universe to date. Known as Webb's First Deep Field, this image of galaxy cluster SMACS 0723 is overflowing with detail, revealing thousands of galaxies—including the faintest objects ever observed in the infrared—in a tiny sliver of sky approximately the size of a grain of sand held at arm's length by someone on the ground. The combined mass of the cluster acts as a gravitational lens, magnifying much more distant galaxies behind it.",HUMAN,astrophysics,benign,wire_syndication,cluster_jwst_deep_field,EXACT_MIRROR,Word-for-word AP/Reuters syndication wire reprint.
jwst-003,"The James Webb Space Telescope has officially delivered humanity's clearest and deepest infrared perspective of the cosmos to date. Centered on the massive galaxy cluster SMACS 0723, the groundbreaking deep-field image captures thousands of ancient galaxies, with gravitational lensing magnifying light from primordial structures that formed over thirteen billion years ago.",AI_GENERATED,astrophysics,benign,llm_summary,cluster_jwst_deep_field,PARAPHRASED_DERIVATIVE,LLM-generated news summary with restructured sentence syntax and vocabulary.
jwst-004,Astronomers analyzing the new James Webb Space Telescope deep field image of SMACS 0723 report that gravitational lensing has revealed several high-redshift candidate galaxies from the epoch of reionization. Spectroscopic follow-up with NIRSpec indicates prominent ionized oxygen emission lines in galaxies appearing as luminous arcs around the cluster core.,HUMAN,astrophysics,benign,academic_commentary,cluster_jwst_deep_field,RELATED_NARRATIVE,Technical follow-up research paper commentary on NIRSpec spectroscopy.
ai-reg-001,"The European Parliament and Council have reached a landmark political agreement on the Artificial Intelligence Act, establishing comprehensive risk-based harmonized rules across the European Union. The legislation introduces strict prohibitions on unacceptable-risk AI systems such as cognitive behavioral manipulation and biometric categorization, while imposing rigorous transparency and systemic risk assessment obligations on general-purpose foundation models.",HUMAN,technology_policy,benign,official_communique,cluster_ai_governance,ROOT_ORIGIN,Official European Commission legislative summary of the EU AI Act.
ai-reg-002,"European Union lawmakers have finalized political negotiations on the groundbreaking AI Act, establishing the world's first comprehensive legal framework for artificial intelligence. The regulations ban applications posing unacceptable risks—including social scoring and real-time biometric tracking in public spaces—while mandating safety audits, red-teaming protocols, and transparency disclosures for powerful frontier foundation models.",HUMAN,technology_policy,benign,journalism,cluster_ai_governance,NEAR_DUPLICATE,Journalistic reporting from Financial Times / Reuters.
ai-reg-003,"In a pivotal milestone for global technology governance, European regulators have enacted the EU AI Act to standardize artificial intelligence deployment. In conclusion, the regulatory architecture classifies AI applications across tiered risk categories, enforcing strict compliance standards on foundation models to ensure ethical alignment, algorithmic accountability, and user safety across member states.",AI_GENERATED,technology_policy,benign,llm_generic,cluster_ai_governance,PARAPHRASED_DERIVATIVE,LLM-generated policy briefing demonstrating boilerplate transitions.
ai-reg-004,"Tech industry leaders and legal scholars continue to debate the international implications of the EU Artificial Intelligence Act. While proponents argue that standardized safety benchmarks and watermarking mandates will prevent catastrophic misuse, open-source software advocates express concerns that broad foundation model compliance burdens may stifle academic innovation.",HUMAN,technology_policy,benign,industry_analysis,cluster_ai_governance,RELATED_NARRATIVE,Industry analysis on open-source innovation impact.
grid-001,URGENT ALERT: Confidential government whistleblowers have confirmed that national energy grid switching systems are undergoing a coordinated clandestine shutdown tonight at midnight to enforce simulated blackout mandates. Withdraw all bank funds immediately before ATMs freeze! #GridDown #EmergencyAlert #BlackoutProtocol,AI_GENERATED,disinformation,malign_simulation,synthetic_seed,cluster_grid_disinfo,ROOT_ORIGIN,Synthetic panic-inducing crisis campaign seed on electrical grid collapse.
grid-002,URGENT ALERT: Confidential government whistleblowers have confirmed that national energy grid switching systems are undergoing a coordinated clandestine shutdown tonight at midnight to enforce simulated blackout mandates. Withdraw all bank funds immediately before ATMs freeze! #GridDown #EmergencyAlert #BlackoutProtocol,AI_GENERATED,disinformation,malign_simulation,synthetic_mirror,cluster_grid_disinfo,EXACT_MIRROR,Word-for-word bot broadcast mirrored to Telegram and microblog relays.
grid-003,EMERGENCY LEAK: Insider sources reveal that electrical utility substations nationwide will be remotely disabled at 23:59 tonight under secret emergency decrees. Secure cash reserves and emergency rations before banking systems and telecommunications blackouts begin! Spread this message! #GridDown #BlackoutAlert,AI_GENERATED,disinformation,malign_simulation,synthetic_variant,cluster_grid_disinfo,PARAPHRASED_DERIVATIVE,AI-rewritten mutation with altered vocabulary to bypass exact lexical filters.
grid-004,BREAKING BULLETIN: Defense network analysts report coordinated electronic interference targeting regional power transmission relays. Federal agencies are reportedly preparing rolling blackouts across metropolitan sectors starting at midnight. Withdraw physical currency immediately! #EnergyCrisis #GridDown,AI_GENERATED,disinformation,malign_simulation,synthetic_variant,cluster_grid_disinfo,PARAPHRASED_DERIVATIVE,Second-generation mutation targeting news-style formatting.
grid-005,The Department of Energy and regional grid operators have issued a formal advisory confirming that all electrical transmission infrastructure is operating normally with zero planned shutdowns. Officials caution the public against unverified viral social media rumors regarding power grid failures.,HUMAN,civic,benign,official_refutation,cluster_grid_disinfo,RELATED_NARRATIVE,Authentic official fact-checking and debunking statement.
semi-001,"ASML has commenced shipment of its first commercial High Numerical Aperture extreme ultraviolet (High-NA EUV) lithography system, the Twinscan EXE:5000, to leading semiconductor fabrication facilities. The advanced optical system achieves a 0.55 numerical aperture, enabling chipmakers to print sub-2-nanometer transistor features in a single exposure without complex multi-patterning techniques.",HUMAN,semiconductors,benign,industry_press_release,cluster_semiconductor,ROOT_ORIGIN,Official semiconductor industry announcement on High-NA EUV tools.
semi-002,"Leading semiconductor equipment manufacturer ASML has begun deploying its next-generation High-NA extreme ultraviolet lithography systems to commercial chip fabrication plants. With a numerical aperture of 0.55, the revolutionary technology enables single-exposure printing for advanced sub-2nm node architectures, significantly improving yield efficiency for artificial intelligence accelerators.",HUMAN,semiconductors,benign,financial_news,cluster_semiconductor,NEAR_DUPLICATE,Bloomberg / Reuters technology supply chain coverage.
semi-003,"In exploring the cutting-edge landscape of semiconductor fabrication, ASML's rollout of High-NA EUV lithography systems marks a monumental milestone. In conclusion, by facilitating sub-2nm node manufacturing with high numerical aperture optics, these machines empower foundries to produce next-generation processors with unprecedented computational density and energy efficiency.",AI_GENERATED,semiconductors,benign,llm_generic,cluster_semiconductor,PARAPHRASED_DERIVATIVE,LLM-generated semiconductor overview with signature boilerplate transitions.
battery-001,"Materials scientists at MIT have engineered an inorganic solid-state lithium battery featuring a self-healing solid electrolyte interface that prevents dendrite penetration across thousands of rapid charge-discharge cycles. The solid-state architecture replaces volatile organic liquid electrolytes with a sulfide-based solid ceramic separator, achieving an energy density exceeding 500 watt-hours per kilogram while maintaining non-flammability.",HUMAN,materials_science,benign,scientific_journal,cluster_battery_storage,ROOT_ORIGIN,Peer-reviewed materials science research abstract in Nature Energy.
battery-002,"MIT researchers have developed an innovative solid-state lithium battery that utilizes a self-healing solid electrolyte to eliminate dendrite formation during rapid cycling. By substituting flammable liquid electrolytes with robust ceramic separators, the prototype reaches an energy density of over 500 Wh/kg with superior thermal stability for electric vehicles and grid storage.",AI_GENERATED,materials_science,benign,llm_summary,cluster_battery_storage,PARAPHRASED_DERIVATIVE,LLM-synthesized summary of the MIT battery paper.
